date,actor,military_activity_score,diplomatic_activity_score,proxy_activity_score,infrastructure_coercion_score,maritime_pressure_score,rhetorical_escalation_score,confidence_of_coding,dominant_posture,key_trigger,key_response,main_theater,notes
2026-04-02,Iran,3,3,0,3,3,2,High,Mixed,Bridge strike and U.K. Hormuz forum,IRNA reported Oman transit-monitoring drafting while Gulf attacks continued,GulfHormuz,Tehran paired diplomatic signals with continued neighbor strikes and intercept waves.
2026-04-02,Hezbollah,3,0,2,0,0,1,Medium,Retaliating,Israeli strikes killing dozens in 24h reporting,Maintained pressure consistent with Israeli casualty claims,Lebanon,Lebanon intensity rose sharply in the same-day health ministry tally cited by AP.
2026-04-02,Hashd,0,0,0,0,0,0,Low,Holding,No new attributable surge,Remained out of the main escalation headlines,Iraq,Iraq proxy lane stayed latent this day.
2026-04-02,Houthis,0,0,1,0,1,0,Low,Holding,Oil backwardation narrative,Maritime risk remained a market driver more than fresh Houthi claims,YemenRedSea,Red Sea role was indirect in April 2 reporting relative to Hormuz diplomacy.
2026-04-03,US,3,1,0,2,1,3,High,Mixed,Iranian shootdown of F-15E,CSAR activity continued while Trump threatened bridges then power plants,MultiTheater,Manned aircraft loss punctured total air-superiority messaging in reporting.
2026-04-03,Israel,2,0,1,1,0,2,Medium,Escalating,Ongoing missile and drone war,Maintained strikes including Lebanon reporting on worshipper-adjacent hits,MultiTheater,Israeli operations continued but shared the headline with U.S. air losses.
2026-04-03,Iran,3,1,0,3,2,2,High,Retaliating,U.S. strikes and crew search politics,Struck Kuwait refinery and desalination-linked reporting while state media amplified aircrew search,GulfHormuz,Energy-water targeting stayed central alongside air-defense success claims.
2026-04-03,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli drone strike reporting,Maintained low-level northern friction in AP’s Friday wrap,Lebanon,Lebanon violence continued under wider regional headlines.
2026-04-03,Hashd,0,0,0,0,0,0,Low,Holding,Diplomacy dead-end stories focused elsewhere,No new Hashd operational claim in reviewed April 3 items,Iraq,Iraq remained a conditional lane only.
2026-04-03,Houthis,0,0,1,0,1,0,Low,Holding,Good Friday thin liquidity context,No major new Houthi claim in the same-day brief,YemenRedSea,Houthi axis was secondary to Hormuz and Gulf utility strikes.
